iter	Passed	Remaining
0	20	20793
1	43	21952
2	65	21680
3	84	21063
4	106	21269
5	130	21576
6	152	21586
7	172	21425
8	192	21193
9	211	20902
10	229	20591
11	246	20322
12	266	20225
13	284	20069
14	302	19896
15	321	19780
16	339	19627
17	360	19654
18	382	19758
19	403	19764
20	422	19718
21	442	19658
22	460	19573
23	478	19459
24	495	19341
25	513	19251
26	532	19172
27	550	19113
28	568	19021
29	586	18953
30	604	18886
31	622	18832
32	639	18752
33	658	18702
34	676	18659
35	694	18597
36	712	18531
37	730	18489
38	749	18469
39	767	18425
40	785	18375
41	803	18328
42	821	18290
43	839	18249
44	864	18346
45	887	18397
46	907	18406
47	932	18491
48	955	18546
49	977	18569
50	997	18557
51	1016	18532
52	1035	18496
53	1052	18445
54	1071	18402
55	1088	18351
56	1105	18294
57	1123	18252
58	1141	18203
59	1159	18157
60	1177	18132
61	1199	18146
62	1222	18179
63	1243	18179
64	1263	18172
65	1282	18148
66	1301	18116
67	1318	18068
68	1336	18026
69	1353	17981
70	1371	17946
71	1389	17908
72	1407	17870
73	1425	17839
74	1443	17804
75	1462	17780
76	1481	17756
77	1498	17708
78	1515	17665
79	1533	17630
80	1550	17593
81	1569	17571
82	1587	17534
83	1604	17501
84	1622	17466
85	1640	17431
86	1657	17395
87	1675	17362
88	1693	17336
89	1711	17309
90	1729	17274
91	1746	17241
92	1765	17220
93	1783	17187
94	1801	17162
95	1819	17134
96	1837	17104
97	1855	17074
98	1873	17046
99	1890	17015
100	1908	16989
101	1926	16957
102	1944	16934
103	1962	16904
104	1979	16874
105	1997	16849
106	2016	16830
107	2033	16797
108	2052	16776
109	2070	16750
110	2088	16723
111	2106	16697
112	2123	16670
113	2142	16653
114	2161	16631
115	2179	16610
116	2197	16586
117	2216	16568
118	2235	16548
119	2253	16528
120	2272	16507
121	2290	16486
122	2309	16469
123	2328	16447
124	2345	16420
125	2363	16395
126	2381	16370
127	2399	16348
128	2420	16344
129	2442	16348
130	2463	16341
131	2484	16336
132	2503	16316
133	2521	16295
134	2539	16272
135	2557	16247
136	2575	16226
137	2594	16203
138	2612	16180
139	2630	16156
140	2648	16135
141	2667	16115
142	2684	16089
143	2703	16067
144	2721	16045
145	2739	16023
146	2758	16006
147	2775	15979
148	2794	15960
149	2813	15941
150	2830	15917
151	2849	15897
152	2867	15872
153	2886	15856
154	2904	15836
155	2922	15811
156	2940	15790
157	2959	15772
158	2977	15750
159	2996	15729
160	3013	15706
161	3031	15682
162	3049	15659
163	3068	15640
164	3086	15617
165	3104	15597
166	3123	15578
167	3141	15556
168	3159	15536
169	3177	15514
170	3195	15490
171	3213	15471
172	3232	15452
173	3251	15432
174	3268	15409
